nodez= 65
1 0.55
2 0.559454
3 0.568908
4 0.578361
5 0.587815
6 0.597269
7 0.606723
8 0.616176
9 0.62563
10 0.635084
11 0.644538
12 0.653992
13 0.663445
14 0.672899
15 0.682353
16 0.691807
17 0.701261
18 0.710714
19 0.720168
20 0.729622
21 0.739076
22 0.748529
23 0.757983
24 0.767437
25 0.776891
26 0.786345
27 0.795798
28 0.805252
29 0.814706
30 0.82416
31 0.833613
32 0.843067
33 0.852521
34 0.861975
35 0.871429
36 0.880882
37 0.890336
38 0.89979
39 0.909244
40 0.918697
41 0.927395
42 0.935336
43 0.942521
44 0.94895
45 0.954622
46 0.959538
47 0.963697
48 0.967101
49 0.969748
50 0.971639
51 0.973529
52 0.97542
53 0.977311
54 0.979202
55 0.981092
56 0.982983
57 0.984874
58 0.986765
59 0.988655
60 0.990546
61 0.992437
62 0.994328
63 0.996218
64 0.998109
65 1
