nodez= 97
1 0.55
2 0.553289
3 0.556579
4 0.559868
5 0.563158
6 0.566447
7 0.569737
8 0.573026
9 0.576316
10 0.579605
11 0.582895
12 0.586184
13 0.589474
14 0.592763
15 0.596053
16 0.599342
17 0.602632
18 0.605921
19 0.609211
20 0.6125
21 0.615789
22 0.619079
23 0.622546
24 0.626191
25 0.630014
26 0.634015
27 0.638193
28 0.64255
29 0.647084
30 0.651796
31 0.656686
32 0.661753
33 0.666999
34 0.672422
35 0.678023
36 0.683802
37 0.689758
38 0.695893
39 0.702205
40 0.708695
41 0.715363
42 0.722208
43 0.729232
44 0.736433
45 0.743812
46 0.751369
47 0.759104
48 0.767016
49 0.775107
50 0.783375
51 0.791821
52 0.800445
53 0.809246
54 0.818225
55 0.827383
56 0.836718
57 0.84623
58 0.855921
59 0.865789
60 0.875164
61 0.884046
62 0.892434
63 0.900329
64 0.90773
65 0.914638
66 0.921053
67 0.926974
68 0.932401
69 0.937336
70 0.941776
71 0.945724
72 0.949178
73 0.952138
74 0.954605
75 0.956579
76 0.958553
77 0.960526
78 0.9625
79 0.964474
80 0.966447
81 0.968421
82 0.970395
83 0.972368
84 0.974342
85 0.976316
86 0.978289
87 0.980263
88 0.982237
89 0.984211
90 0.986184
91 0.988158
92 0.990132
93 0.992105
94 0.994079
95 0.996053
96 0.998026
97 1
